Date,Open,High,Low,Close,Adj Close,Volume
29-05-2018,10689.40039,10717.25,10616.09961,10633.29981,10633.29981,225800
30-05-2018,10579,10648.7002,10558.4502,10614.34961,10614.34961,238700
31-05-2018,10670.09961,10763.79981,10620.40039,10736.15039,10736.15039,610300
01-06-2018,10738.4502,10764.75,10681.5,10696.2002,10696.2002,220600
04-06-2018,10765.9502,10770.29981,10618.34961,10628.5,10628.5,203800
05-06-2018,10630.7002,10633.15039,10550.90039,10593.15039,10593.15039,167700
06-06-2018,10603.4502,10698.34961,10587.5,10684.65039,10684.65039,189900
07-06-2018,10722.59961,10818,10722.59961,10768.34961,10768.34961,220900
08-06-2018,10736.40039,10779.4502,10709.04981,10767.65039,10767.65039,209400
11-06-2018,10781.84961,10850.54981,10777.04981,10786.9502,10786.9502,211400
12-06-2018,10816.15039,10856.54981,10789.40039,10842.84961,10842.84961,198300
13-06-2018,10887.5,10893.25,10842.65039,10856.7002,10856.7002,213400
14-06-2018,10832.90039,10833.7002,10773.54981,10808.04981,10808.04981,184300
15-06-2018,10808.65039,10834,10755.40039,10817.7002,10817.7002,305400
18-06-2018,10830.2002,10830.2002,10787.34961,10799.84961,10799.84961,196600
19-06-2018,10789.4502,10789.4502,10701.2002,10710.4502,10710.4502,224500
20-06-2018,10734.65039,10781.79981,10724.04981,10772.04981,10772.04981,193500
21-06-2018,10808.4502,10809.59961,10725.90039,10741.09961,10741.09961,223600
22-06-2018,10742.7002,10837,10710.4502,10821.84961,10821.84961,229800
25-06-2018,10822.90039,10831.04981,10753.04981,10762.4502,10762.4502,229600
26-06-2018,10742.7002,10805.25,10732.54981,10769.15039,10769.15039,220000
27-06-2018,10785.5,10785.5,10652.40039,10671.40039,10671.40039,246000
28-06-2018,10660.79981,10674.2002,10557.7002,10589.09961,10589.09961,352300
29-06-2018,10612.84961,10723.04981,10612.34961,10714.29981,10714.29981,242800
02-07-2018,10732.34961,10736.15039,10604.65039,10657.29981,10657.29981,295400
03-07-2018,10668.59961,10713.29981,10630.25,10699.90039,10699.90039,202100
04-07-2018,10715,10777.15039,10677.75,10769.90039,10769.90039,173900
05-07-2018,10786.04981,10786.04981,10726.25,10749.75,10749.75,220500
06-07-2018,10744.15039,10816.34961,10735.04981,10772.65039,10772.65039,0
09-07-2018,10838.29981,10860.34961,10807.15039,10852.90039,10852.90039,183600
10-07-2018,10902.75,10956.90039,10876.65039,10947.25,10947.25,197000
11-07-2018,10956.40039,10976.65039,10923,10948.29981,10948.29981,222300
12-07-2018,11006.9502,11078.29981,10999.65039,11023.2002,11023.2002,248300
13-07-2018,11056.90039,11071.34961,10999.75,11018.90039,11018.90039,0
16-07-2018,11018.9502,11019.5,10926.25,10936.84961,10936.84961,210500
17-07-2018,10939.65039,11018.5,10925.59961,11008.04981,11008.04981,210600
18-07-2018,11060.2002,11076.2002,10956.29981,10980.4502,10980.4502,225500
19-07-2018,10999.5,11006.5,10935.4502,10957.09961,10957.09961,215400
20-07-2018,10963.5,11030.25,10946.2002,11010.2002,11010.2002,187300
23-07-2018,11019.84961,11093.40039,11010.9502,11084.75,11084.75,229100
24-07-2018,11109,11143.40039,11092.5,11134.29981,11134.29981,205800
25-07-2018,11148.40039,11157.15039,11113.25,11132,11132,205900
26-07-2018,11132.9502,11185.84961,11125.7002,11167.29981,11167.29981,365400
27-07-2018,11232.75,11283.40039,11210.25,11278.34961,11278.34961,314600
30-07-2018,11296.65039,11328.09961,11261.4502,11319.54981,11319.54981,278800
31-07-2018,11311.04981,11366,11267.75,11356.5,11356.5,256500
01-08-2018,11359.79981,11390.54981,11313.54981,11346.2002,11346.2002,269700
02-08-2018,11328.90039,11328.90039,11234.9502,11244.7002,11244.7002,210000
03-08-2018,11297.79981,11368,11294.54981,11360.79981,11360.79981,218300
06-08-2018,11401.5,11427.65039,11370.59961,11387.09961,11387.09961,203700
